CD20	CD24	CD27	CD38	IgD	id
5222	1353	413	242	2545	1390	1
5223	3143	1754	1	2347	1840	2
5225	1705	242	263	3166	1337	1
5226	2821	1961	597	1603	1413	2
5228	962	696	847	2859	1183	1
5230	1352	619	597	3003	1264	1
5231	1746	628	704	2596	1300	1
5232	1284	481	712	2099	1432	1
5233	1391	427	780	2441	1361	1
5234	3192	1387	1	1881	1424	2
5235	2498	1050	382	2170	1807	2
5236	2684	1129	195	1768	1378	2
5238	1653	671	753	3260	1539	1
5239	3398	850	146	170	1689	2
5240	3162	1381	122	2146	1471	2
5241	1153	463	980	3005	1407	1
5242	1370	654	683	2518	1694	1
5243	922	540	836	2285	1576	1
5244	3399	850	1	409	1337	2
5245	1507	549	724	2882	1437	1
5247	3253	1754	1	1770	2017	2
5248	745	431	531	1746	1166	1
5249	623	468	737	2335	1539	1
5251	1073	675	772	2431	1383	1
5253	1600	597	199	2821	1514	1
5254	3035	696	68	1053	1209	2
5257	3251	2141	1	1555	1588	2
5258	3247	1754	19	422	1606	2
5259	983	477	1042	1037	1602	1
5260	892	400	2531	2787	1396	1
5264	1710	836	1670	2646	1436	1
5266	1640	566	1360	2235	1517	1
5267	1771	619	298	3209	1545	1
5269	1688	486	118	2684	1240	1
5271	1439	610	619	3161	1357	1
5272	749	658	409	2695	1565	1
5275	2916	535	208	1530	1826	2
5276	1287	597	675	2470	1255	1
5277	1294	632	1591	2273	1468	1
5278	2809	1431	1	2249	1538	2
5283	1514	499	1765	2642	1480	1
5284	1796	320	965	2942	1444	1
5287	1621	553	315	2861	1544	1
5288	1684	368	263	2842	1328	1
5289	2921	1832	1	242	1478	2
5290	1509	784	386	3298	1381	1
5291	753	535	784	2340	1535	1
5292	1023	696	597	2455	1549	1
5300	1756	741	764	2622	1426	1
5301	1476	490	675	1516	1528	1
5302	1586	526	671	3078	1228	1
5306	1389	427	632	2171	1487	1
5310	1294	377	2144	2884	1337	1
5311	1032	522	889	2705	1613	1
5312	3323	1556	588	2258	2078	2
5317	1050	454	535	2726	1543	1
5318	2845	1738	1	2457	1242	2
5322	692	477	2585	1891	1621	1
5323	1061	459	619	2901	1582	1
5326	3029	1237	1	2057	1249	2
5328	1622	654	540	2569	1449	1
5334	2815	1055	1	1888	1573	2
5335	1450	495	776	2914	1391	1
5339	1292	386	418	2782	1187	1
5344	1726	606	720	2655	1042	1
5347	1496	799	1026	2783	1515	1
5348	931	333	1636	2824	1361	1
5349	3174	956	1	2070	1718	2
5351	1133	320	229	2720	1585	1
5357	641	696	431	2796	1589	1
5358	1066	459	679	1522	1456	1
5360	1439	549	526	2283	1532	1
5361	3142	1444	346	1929	1697	2
5362	1661	654	566	2831	1625	1
5365	821	580	741	2764	1640	1
5366	1600	623	696	3375	1600	1
5367	1333	658	355	2698	1078	1
5369	3217	753	179	2292	1777	2
5373	1506	486	649	2550	1573	1
5375	1218	692	843	2549	1499	1
5376	944	662	696	1836	1523	1
5377	1361	753	254	2622	1374	1
5381	2949	1026	285	1913	1395	2
5385	1747	768	1426	2699	1672	1
5388	3222	810	49	1590	1593	2
5390	776	549	780	2199	1650	1
5392	1181	454	373	1408	1409	1
5397	1133	526	477	2533	1040	1
5398	3273	1050	276	1164	1519	2
5400	1704	818	799	2593	1445	1
5404	768	912	490	1813	1548	1
5405	1302	440	195	2452	1412	1
5406	1628	526	615	2779	1233	1
5408	899	463	2471	1938	1628	1
5409	741	619	445	2368	1478	1
5410	969	535	386	2380	1251	1
5411	1083	671	704	2483	1466	1
5412	2515	829	150	1897	1492	2
5415	3063	1519	799	2074	1627	2
5417	1140	915	729	2991	1650	1
5418	3522	1600	220	2732	1781	2
5420	3001	1334	821	2028	1561	2
5421	806	311	847	2950	1233	1
5423	1321	810	1021	2684	1432	1
5424	716	575	850	1844	1564	1
5425	2864	1007	1	1887	1642	2
5428	1475	737	463	2578	1776	1
5430	1721	606	584	3166	1265	1
5431	1506	490	931	2533	1653	1
5435	720	580	899	1933	1595	1
5436	1193	526	745	2987	1429	1
5437	3239	1683	1	2496	1714	2
5438	1457	440	636	2715	1489	1
5443	1350	495	899	2388	1337	1
5444	1483	733	1203	2048	1804	1
5445	3239	1391	83	1939	1498	2
5447	3008	1203	1	1142	1771	2
5451	2906	1657	829	2161	1867	2
5452	1438	377	1356	1991	1558	1
5455	938	645	382	2586	1442	1
5456	1413	463	571	2247	1201	1
5459	1654	526	562	3321	1529	1
5462	1502	495	1913	2801	1311	1
5463	3552	1450	1	1549	1457	2
5464	1153	422	2328	1594	1126	1
5465	3396	1828	1	2385	1878	2
5467	3394	1680	1	2459	1831	2
5468	1267	712	1040	2137	1623	1
5469	1680	481	508	3000	1628	1
5471	1710	683	895	3124	1651	1
5473	1578	449	704	2416	1331	1
5474	1103	391	584	1701	1500	1
5475	1448	490	749	2906	1260	1
5476	1586	562	632	2904	1495	1
5478	3368	733	1	1403	1689	2
5480	2863	912	199	1736	1233	2
5481	1442	628	267	2263	1627	1
5482	1633	526	183	2943	1333	1
5484	1647	745	977	2739	1847	1
5485	1286	795	422	2633	1492	1
5487	1586	386	333	3141	1594	1
5489	944	737	2174	2486	1572	1
5491	1260	418	2686	1766	1476	1
5493	1564	342	531	2977	1387	1
5494	1778	700	199	2941	1354	1
5496	2878	1642	204	580	1460	2
5497	1224	641	360	2750	1101	1
5498	3098	1532	75	2400	1430	2
5499	3231	1385	1	2428	1900	2
5501	969	508	760	2364	1366	1
5503	1592	360	729	2555	1601	1
5504	1053	468	716	2799	1557	1
5505	1050	623	868	2784	1560	1
5506	980	658	422	2201	1553	1
5507	3160	1819	1	2211	1776	2
5508	1735	298	1693	2273	1088	1
5510	3272	1292	1	2175	1707	2
5511	2963	1058	41	2135	1700	2
5513	1178	499	696	3062	1663	1
5514	3172	1577	772	2261	1542	2
5516	1115	628	875	2276	1360	1
5517	1587	764	909	3209	1457	1
5519	683	615	1050	3038	1526	1
5520	2816	1521	179	2196	1594	2
5522	1553	517	400	2867	1533	1
5525	1269	454	720	2895	1446	1
5526	857	737	499	2110	1387	1
5528	1396	692	1138	2245	1603	1
5530	772	553	597	2016	1432	1
5531	1615	1058	1915	2750	1856	1
5532	3037	1274	1	2093	1686	2
5533	1494	490	760	2425	1269	1
5536	3281	1615	1	1218	1409	2
5538	1678	544	386	3025	1480	1
5539	1142	571	658	2818	1368	1
5540	1360	328	481	2344	1538	1
5541	1489	683	623	2915	1673	1
5542	1244	704	495	3168	1439	1
5547	3171	1133	315	1877	1647	2
5548	1484	526	692	2594	1486	1
5552	1048	490	342	2758	1399	1
5555	1677	687	1042	2780	1505	1
5556	825	636	658	3235	1260	1
5558	1373	472	472	2267	1580	1
5559	1408	584	679	2776	1668	1
5560	1126	404	2979	3035	1181	1
5561	1734	280	259	3088	1322	1
5562	3193	1581	1	2037	1991	2
5564	3286	892	1	1875	1807	2
5566	1081	588	1898	2024	1475	1
5568	1048	636	843	1925	1284	1
5576	3178	1773	481	2285	1693	2
5579	2823	1207	187	2076	1630	2
5580	3285	1347	1	2357	1860	2
5582	1479	517	708	2645	1334	1
5583	1138	623	355	1726	1419	1
5589	1484	472	517	2612	1091	1
5590	1336	418	427	2759	1418	1
5591	1308	1001	922	2002	1651	1
5592	1032	654	526	2653	1580	1
5595	950	517	517	2263	1429	1
5596	3031	1441	404	2278	1895	2
5597	1	540	2917	3378	1562	1
5598	2938	1896	1	1371	1205	2
5600	1168	588	436	1534	1608	1
5601	1450	575	632	2969	1473	1
5603	1222	436	1126	2677	1458	1
5606	1487	584	658	2618	1519	1
5609	1672	293	840	2879	1585	1
5611	1249	780	1147	2494	1710	1
5612	2492	2014	436	1825	2087	2
5614	1101	597	683	3111	1600	1
5615	1325	246	780	3228	1545	1
5616	1126	463	377	2654	1487	1
5623	1634	436	885	3218	1557	1
5624	1228	508	632	3123	1493	1
5625	995	700	337	2158	1363	1
5628	2641	1448	553	1959	1747	2
5631	1068	346	619	2610	1604	1
5633	2793	666	195	1984	1462	2
5635	1197	562	535	1916	1546	1
5637	1719	522	481	3196	1498	1
5638	810	588	289	1952	1308	1
5639	868	454	619	2417	1423	1
5643	1573	687	154	2854	1246	1
5644	1390	610	941	2245	1957	1
5645	3130	1189	298	1983	1424	2
5649	1371	658	776	2272	1560	1
5651	3042	1625	1	2119	1337	2
5654	1453	504	956	3107	1674	1
5655	3218	1419	1	2240	1926	2
5656	1400	436	745	2337	1611	1
5657	1631	803	333	2745	1892	1
5658	1228	733	522	2986	1631	1
5660	2544	1805	382	2263	1734	2
5661	3223	1565	1	2021	1804	2
5662	2924	1666	98	1756	1795	2
5663	1512	490	320	2732	1302	1
5666	1042	606	404	2227	1322	1
5667	1218	575	741	1919	1532	1
5668	1394	632	814	3109	1327	1
5671	1191	368	175	2711	1168	1
5673	1705	575	1166	2826	1505	1
5674	3159	720	75	2246	1672	2
5676	788	615	199	2586	1492	1
5677	1424	504	836	2594	1307	1
5681	902	395	298	2648	1333	1
5682	1353	557	481	2874	1535	1
5683	1722	463	360	2953	1417	1
5688	3199	373	118	861	1569	2
5689	1581	662	463	3379	1698	1
5690	2856	1229	1	1954	1614	2
5692	1357	553	729	2920	1574	1
5693	1682	788	1371	2706	2086	1
5694	1390	575	791	2079	1303	1
5699	1303	285	549	2911	1396	1
5700	1352	459	645	2243	1611	1
5701	1639	753	1140	2512	1654	1
5702	3193	1456	1	2363	1553	2
5703	975	540	584	2258	1631	1
5704	1695	263	468	1735	1583	1
5705	1393	535	364	2730	1408	1
5706	3031	1571	368	2412	2001	2
5707	1552	242	544	2645	1370	1
5711	3240	1066	1	2134	1697	2
5712	720	504	975	2461	1490	1
5713	3165	1420	1	2094	1865	2
5716	1470	649	1021	2121	1487	1
5719	1257	645	1452	2538	1574	1
5721	1042	535	756	2378	1299	1
5723	1110	602	931	2580	1644	1
5724	3025	712	1	1909	1934	2
5725	1624	1009	1257	2563	1562	1
5726	1088	490	311	2580	1347	1
5727	1290	675	632	2203	1445	1
5728	1352	517	658	2608	1456	1
5729	1155	454	1061	3038	1410	1
5735	1086	413	847	2267	1151	1
5736	3304	1679	45	2203	1558	2
5737	3177	1944	1	540	1605	2
5739	1735	463	632	2856	1242	1
5740	3752	1368	1	687	1699	2
5742	3121	1322	1	1818	1492	2
5745	3319	1622	486	1990	1402	2
5749	3383	1971	1	2317	1903	2
5750	1426	632	756	2482	1541	1
5752	1386	504	871	2600	1551	1
5754	1614	544	1	2951	1409	1
5755	2960	1343	733	1743	1611	2
5756	1648	468	526	2825	1387	1
5761	850	499	658	2225	1469	1
5766	1310	531	588	2592	1478	1
5767	3118	1647	632	2288	1794	2
5769	724	610	825	2179	1593	1
5770	928	615	687	2165	1526	1
5771	1142	508	776	2724	1591	1
5774	1429	495	584	1958	1331	1
5775	3051	1249	37	1904	1562	2
5776	1248	675	400	2632	1717	1
5780	953	477	250	2106	1083	1
5781	980	557	351	2676	1521	1
5783	1396	440	562	2590	1201	1
5790	1557	662	803	2895	1269	1
5791	1557	671	733	2755	1212	1
5793	1172	259	495	1968	1287	1
5794	1541	675	259	2769	1174	1
5797	1078	692	526	1591	1632	1
5800	1412	557	1733	2539	1668	1
5801	1495	526	675	2880	1668	1
5802	1554	580	254	3007	1491	1
5804	2981	1162	588	1975	1649	2
5806	3136	1071	1	2274	1740	2
5807	1583	593	868	2866	1523	1
5810	1189	382	687	2619	1518	1
5813	854	454	975	2360	1716	1
5814	1497	628	645	2211	1446	1
5815	1407	280	3165	3631	1759	1
5819	1448	745	454	2459	1592	1
5824	1364	490	311	2996	1249	1
5825	3151	829	1	1738	1553	2
5826	1480	315	504	1718	1331	1
5827	1185	671	1068	2533	1472	1
5831	3088	918	130	1688	1863	2
5832	1400	632	764	3075	1693	1
5833	1631	623	986	2314	1578	1
5836	3407	1488	1	2668	1856	2
5838	788	636	675	2500	1577	1
5839	1491	654	571	3055	1557	1
5843	1272	724	1212	2708	1547	1
5844	1115	557	440	2635	1560	1
5845	1364	692	965	2068	1703	1
5846	1793	597	2443	3482	1684	1
5847	1110	508	671	2305	1396	1
5848	892	745	311	2549	1674	1
5853	1549	391	431	3024	1294	1
5854	2565	1162	146	1917	1710	2
5856	1021	753	724	2316	1503	1
5862	925	517	756	2381	1282	1
5863	1325	499	733	2871	1535	1
5864	795	791	784	2602	1778	1
5865	3200	1396	795	2374	1453	2
5867	1450	517	531	2854	1695	1
5872	1400	575	495	3165	1648	1
5873	1172	662	708	2409	1651	1
5876	1563	989	780	3341	1437	1
5879	1661	454	666	3069	1262	1
5880	2942	1255	1	2232	1602	2
5882	928	588	102	3188	1714	1
5884	1103	499	780	2399	1606	1
5886	1138	641	720	2323	1611	1
5887	1210	468	2378	1395	1532	1
5888	803	513	535	2226	1642	1
5889	1264	704	1050	2795	1607	1
5890	3344	1759	463	2237	1812	2
5891	3184	712	1	1849	1336	2
5892	934	912	975	2633	1655	1
5895	1333	902	756	1826	1628	1
5896	1745	784	418	2964	1439	1
5897	3029	1270	422	242	1147	2
5898	1480	645	1071	2458	1540	1
5899	1279	636	544	2403	1604	1
5900	3235	1313	395	212	1950	2
5901	878	843	810	2422	1429	1
5902	1126	636	818	2630	1526	1
5903	1235	481	495	1408	1575	1
5906	1210	959	912	2414	1445	1
5909	3233	1452	1	2081	1834	2
5913	1257	495	679	2981	1450	1
5914	3335	1414	1	1878	1779	2
5916	895	395	810	2235	1570	1
5918	1386	454	840	2714	1646	1
5920	1110	436	931	3083	1393	1
5921	1391	526	436	2458	1360	1
5922	2462	654	49	1545	1218	2
5924	1103	495	666	2136	1562	1
5926	3037	1408	413	1551	1661	2
5931	3085	1794	400	2270	1780	2
5932	1045	517	477	1985	1467	1
5934	1021	342	486	1926	1554	1
5936	3552	562	1	1665	1529	2
5937	1220	481	436	2566	1606	1
5939	1663	716	593	1899	1391	1
5942	983	544	2165	2407	1316	1
5943	1491	712	836	2693	1720	1
5944	1193	584	729	2292	1360	1
5945	1214	216	737	3182	1410	1
5946	1430	481	645	2036	1400	1
5947	1398	259	531	1719	1403	1
5950	1561	449	195	3237	1260	1
5952	1507	468	531	3236	1639	1
5954	2633	1222	557	1733	1478	2
5956	1593	832	2616	2657	1642	1
5957	1495	513	342	2715	1535	1
5958	1445	780	531	2441	1509	1
5959	3207	1091	1	1886	1600	2
5960	1731	508	468	2866	1542	1
5961	3027	806	150	1818	1412	2
5963	3137	1522	1	2314	1959	2
5965	892	306	3169	3659	1446	1
5968	1390	566	733	2277	1551	1
5969	1197	351	636	2980	1265	1
5970	1496	481	1910	2224	1463	1
5971	1410	540	836	2734	1586	1
5973	1290	553	953	2901	1542	1
5980	1228	683	342	2404	1500	1
5982	3219	1088	1	1987	1474	2
5983	1978	549	1995	2573	1448	1
5984	1174	892	909	2758	1686	1
5989	3190	1549	1	1950	1524	2
5990	1333	636	806	2116	1612	1
5991	840	619	580	1931	1494	1
5993	3112	1346	1	2126	1707	2
5995	1360	871	360	2114	1566	1
6000	1308	427	285	2389	1571	1
6001	3081	1101	1	1962	1737	2
6002	1299	477	947	2226	1410	1
6003	1552	597	1347	2832	1356	1
6004	1371	580	445	2469	1279	1
6005	1624	628	422	2905	1378	1
6006	1756	895	912	2724	1827	1
6013	1249	324	671	2716	1138	1
6016	2467	1494	118	2059	1567	2
6018	756	351	847	2965	1499	1
6023	3075	1709	566	535	1490	2
6026	1290	337	531	2809	1435	1
6027	1076	675	760	2976	1491	1
6030	1048	821	526	1995	1331	1
6032	1576	472	965	3197	1691	1
6034	1487	472	584	2710	1718	1
6035	1620	641	386	2150	1572	1
6036	3258	1334	1	8	1550	2
6037	1611	472	531	2914	1533	1
6041	3030	1528	324	2255	1491	2
6042	1185	597	679	2189	1344	1
6047	1518	580	843	2717	1404	1
6050	1157	632	1178	2639	1214	1
6053	2979	1048	320	2062	1678	2
6055	1509	784	764	2186	1615	1
6060	1429	593	675	2199	1599	1
6061	2637	922	166	1305	1305	2
6063	1361	459	597	2917	1482	1
6065	1678	508	580	2596	1631	1
6068	1484	463	696	2058	1581	1
6071	1407	962	606	2816	1402	1
6072	3011	1218	400	2148	1880	2
6074	1437	580	708	2402	1502	1
6075	3276	2232	1	1361	1620	2
6077	3307	1593	1	2227	1951	2
6078	1201	373	2566	2245	1364	1
6082	2879	1580	68	2102	1738	2
6088	1700	729	737	2981	1538	1
6090	1469	522	810	2112	1550	1
6094	1715	580	864	3120	1269	1
6096	1352	526	871	2992	1434	1
6098	1656	495	280	2499	1495	1
6099	799	675	272	2859	1377	1
6100	2721	1297	130	1737	1682	2
6101	3122	1398	146	2228	1916	2
6103	1083	504	391	3017	1417	1
6105	1503	481	965	2384	1418	1
6108	1608	445	1126	2671	1151	1
6110	1389	566	526	2759	1402	1
6111	1281	861	580	2262	1557	1
6112	1131	696	549	2140	1649	1
6113	3226	1641	1	2122	1924	2
6115	1347	276	1147	3262	1364	1
6119	1339	431	259	2339	1269	1
6121	1556	716	571	2991	1567	1
6123	1240	562	729	3124	1337	1
6125	1073	436	704	2543	1429	1
6126	1294	440	836	2888	1638	1
6127	1040	588	724	2999	1456	1
6133	977	741	158	3107	1290	1
6134	1009	687	708	2750	1352	1
6137	1408	531	780	2936	1517	1
6138	882	522	871	2592	1413	1
6141	1461	619	553	1896	1542	1
6142	1174	400	436	2754	1353	1
6143	1562	671	666	2860	1486	1
6144	784	597	588	2476	1485	1
6145	1303	328	615	3026	1555	1
6147	776	298	557	2083	1276	1
6149	1442	692	311	2834	1310	1
6150	1224	562	404	2908	1453	1
6151	1496	623	549	3050	1478	1
6153	1688	580	1093	2634	1640	1
6156	918	517	645	2602	1310	1
6159	3142	1743	199	2014	1690	2
6160	840	553	683	2509	1393	1
6161	1282	658	1119	2528	1531	1
6162	768	409	427	2131	1535	1
6163	2775	1806	1	1659	1652	2
6164	1255	549	784	1523	1450	1
6165	1164	818	679	2833	1637	1
6167	1253	540	915	2607	1449	1
6173	1409	364	753	2053	1626	1
6175	1483	840	1718	3052	1371	1
6177	1420	941	1073	2476	1417	1
6178	1270	508	481	1844	1437	1
6181	3043	1337	495	1829	1698	2
6182	1674	615	729	1809	1572	1
6185	3288	1611	1	1720	1652	2
6189	2915	1578	130	1848	1277	2
6190	636	593	377	2671	1122	1
6192	3089	1693	187	1643	2050	2
6193	1391	571	486	3262	1571	1
6195	1201	504	360	2581	1055	1
6200	1112	535	328	3081	1442	1
6201	1544	632	490	2460	1420	1
6202	1162	463	1131	2932	1510	1
6205	1279	531	1068	2351	1516	1
6209	975	704	1183	2672	1502	1
6210	1149	409	878	2316	1339	1
6212	1226	280	216	2877	1450	1
6213	2611	1999	517	1946	1442	2
6214	2943	1434	1	2411	1443	2
6216	2881	1520	191	1840	1799	2
6217	861	468	912	2315	1564	1
6219	1526	472	1088	2728	1642	1
6221	1475	645	882	2928	1628	1
6222	720	544	1253	2534	1282	1
6224	1319	463	628	2244	1628	1
6225	1244	814	562	2902	1385	1
6226	1523	840	1138	1986	1795	1
6227	3279	1524	1	2227	1638	2
6229	1357	495	513	2536	1622	1
6231	1432	741	716	2261	1649	1
6232	1542	885	1317	2670	1617	1
6233	1350	588	584	2287	1474	1
6235	3387	1618	1	2247	1502	2
6236	1681	373	1	3344	1548	1
6240	1413	280	395	2661	1665	1
6241	1634	615	662	2817	1609	1
6242	1122	615	772	3074	1549	1
6244	1226	597	628	1651	1618	1
6245	3182	1502	1	1887	1500	2
6249	1474	302	619	2284	1529	1
6250	3147	1316	1	1552	2059	2
6251	1058	495	645	2218	1422	1
6252	983	557	780	2634	1308	1
6253	1631	832	832	2592	1611	1
6254	768	704	2010	2081	1531	1
6255	1340	584	654	2435	1257	1
6256	1344	404	422	2122	1422	1
6258	1284	662	764	1705	1510	1
6259	854	346	679	3098	1493	1
6260	1193	602	364	2679	1007	1
6264	3135	1012	1	2321	1444	2
6265	1658	628	593	2461	1607	1
6268	1218	311	2221	2429	1414	1
6269	980	535	382	2431	1548	1
6273	2546	1992	225	1694	1430	2
6274	3026	1061	636	2213	1585	2
6275	1282	280	490	2281	1233	1
6276	1383	628	382	2563	1556	1
6277	1759	737	427	2511	1758	1
6280	1505	355	753	2876	1403	1
6281	1129	486	716	2816	1055	1
6284	1307	671	449	2465	1389	1
6285	1218	708	1214	2658	1470	1
6287	821	641	431	1587	1530	1
6288	1239	768	1654	2720	1631	1
6289	3457	1359	285	1905	1370	2
6290	1490	575	495	2418	1731	1
6292	1286	679	495	3119	1442	1
6297	1360	477	662	2842	1333	1
6300	3023	983	1	1787	1513	2
6301	1119	544	584	2734	1647	1
6303	1302	422	615	2072	1527	1
6305	1719	658	1522	2401	1599	1
6308	3208	1838	481	2382	1972	2
6310	3323	1654	106	1083	1893	2
6311	1115	400	2174	2429	1162	1
6312	986	422	324	2620	1531	1
6313	2193	1096	517	1688	1636	2
6315	1026	540	905	2333	1248	1
6316	1647	575	499	2680	1596	1
6317	1248	508	645	2011	1498	1
6319	1183	337	302	2812	1356	1
6320	1375	540	2617	2352	1537	1
6322	1091	772	142	2854	1608	1
6327	1129	562	708	2080	1608	1
6329	1071	645	280	2974	1343	1
6330	1187	440	454	2717	1557	1
6331	1277	575	289	2825	1407	1
6333	1124	956	355	2829	1442	1
6335	3107	1371	324	2344	1821	2
6336	3344	1554	311	2275	1789	2
6337	3111	1687	803	2356	1417	2
6342	3304	1504	1	2317	2034	2
6346	2353	1153	272	1945	1518	2
6347	1386	649	413	3483	1287	1
6349	1651	454	776	2847	1634	1
6351	1408	566	749	2028	1520	1
6353	1475	513	531	2421	1467	1
6355	1646	526	272	1970	1366	1
6358	1434	566	953	3159	1588	1
6363	3083	1429	1	2052	1578	2
6366	2459	571	1822	3976	1611	1
6367	1093	522	764	3352	1317	1
6368	2667	1086	220	1873	1609	2
6375	1476	588	1015	2605	1644	1
6378	1347	468	700	2505	1462	1
6382	3342	1517	513	2115	1561	2
6383	803	472	871	2377	1452	1
6385	3104	1162	675	1759	1471	2
6386	3452	606	1	12	1389	2
6388	1216	602	720	2157	1765	1
6390	1445	628	481	2389	1493	1
6391	959	571	784	2921	1305	1
6392	1697	683	1242	2961	1517	1
6393	1246	377	704	2913	1371	1
6394	3223	1153	183	632	1494	2
6395	1535	418	745	2518	1251	1
6396	922	468	871	2375	1603	1
6401	953	597	724	2845	1545	1
6402	1474	764	306	2569	1516	1
6403	1183	729	947	2708	1733	1
6404	1724	749	1162	2610	1460	1
6408	1149	337	597	3037	1450	1
6413	1676	517	2188	3011	1383	1
6415	3278	1229	130	1942	1551	2
6416	1142	584	821	3037	1199	1
6417	1235	821	636	1684	1503	1
6420	1339	302	373	2514	1497	1
6421	2648	764	170	1470	1450	2
6424	1491	588	998	2438	1600	1
6425	3145	1596	1	2023	1539	2
6426	1527	696	1310	2522	1454	1
6430	885	526	772	2154	1661	1
6431	1363	724	320	2599	1767	1
6436	836	745	298	2786	1695	1
6437	1386	749	649	2947	1577	1
6439	1528	683	413	2346	1431	1
6441	1220	454	486	2266	1066	1
6446	1040	377	562	2865	1360	1
6449	3349	944	19	2098	1577	2
6453	3077	623	60	1918	1484	2
6454	1370	724	463	2437	1796	1
6456	1519	422	355	3064	1587	1
6457	1081	382	1310	2146	1399	1
6463	2832	1741	418	2097	1441	2
6467	986	724	753	1711	1475	1
6471	1258	602	649	2838	1366	1
6476	3378	1444	1	2140	1713	2
6477	1661	486	780	2755	1493	1
6480	1420	712	499	2820	1591	1
6481	1305	463	619	2192	1572	1
6482	1317	440	580	2148	1565	1
6483	1716	654	899	2596	1589	1
6487	1474	1083	477	2900	1772	1
6488	2901	1195	832	1907	1549	2
6489	1497	535	454	3177	1272	1
6490	1483	513	1786	3297	1456	1
6493	1525	508	513	3027	1417	1
6494	1555	504	788	1855	1449	1
6495	1110	1021	1015	2551	1759	1
6496	1212	431	1900	2407	1305	1
6498	3175	1255	1	1753	1748	2
6500	1684	871	1166	2820	1689	1
6504	925	671	995	2806	1684	1
6506	3089	1119	179	2316	1517	2
6508	3312	2189	1	557	1825	2
6511	1454	641	724	2509	1209	1
6512	3242	962	1	1943	1913	2
6514	905	1034	825	1709	1554	1
6515	1435	422	540	3211	1547	1
6516	1257	544	254	2388	1635	1
6517	3337	803	1	1914	1902	2
6520	1239	427	724	2703	1467	1
6521	741	671	508	2467	1503	1
6522	1493	413	183	2930	1112	1
6525	1042	780	584	2374	1399	1
6526	2914	1490	355	2034	1432	2
6527	1040	342	708	3153	1574	1
6528	3235	1340	1	2500	1800	2
6529	1160	724	531	1814	1592	1
6532	1702	391	1658	2526	1528	1
6533	1390	395	2540	2416	1495	1
6534	1240	692	508	3217	1439	1
6536	1603	649	788	2652	1479	1
6537	737	400	333	3057	1394	1
6538	1353	495	658	3075	1407	1
6540	1305	575	225	2916	1615	1
6544	1659	864	1834	2524	1649	1
6545	1328	850	1242	2285	1648	1
6546	2921	1063	454	1752	1503	2
6548	1210	179	687	2330	1548	1
6549	2570	1160	237	1917	1715	2
6550	1337	454	623	2690	1430	1
6551	1540	486	477	3188	1453	1
6552	1538	472	553	2502	1394	1
6553	1281	355	597	2779	1359	1
6555	2620	1767	91	1748	1649	2
6557	720	683	459	2636	1441	1
6559	1418	477	486	2721	1612	1
6561	1502	654	584	2405	1617	1
6562	1307	632	544	2683	1624	1
6567	814	986	861	2844	1430	1
6568	1	1	3320	3269	1634	1
6569	3324	821	1	2265	1710	2
6570	1460	606	1037	2584	1561	1
6573	1509	490	658	2951	1405	1
6576	1426	606	905	2738	1650	1
6579	1487	535	1482	2621	1533	1
6580	1415	922	1302	2472	1544	1
6583	3170	1385	1	2187	2082	2
6585	1045	544	1875	2708	1540	1
6586	1470	557	829	2829	1557	1
6590	3370	1210	1	2169	1715	2
6593	3331	2192	436	2191	1791	2
6594	1562	593	463	2288	1412	1
6599	1279	679	2325	2082	1481	1
6602	2974	1611	368	1756	1596	2
6603	998	535	360	2423	1487	1
6604	3142	641	1	2010	1502	2
6605	1103	584	481	3035	1607	1
6608	1479	662	915	2062	1695	1
6610	1456	654	557	2938	1166	1
6611	1295	320	1773	2570	1559	1
6612	1533	472	391	2799	1425	1
6613	3211	1021	342	2270	2123	2
6616	1548	641	654	3205	1330	1
6621	2557	749	225	1887	1659	2
6622	454	490	2405	2592	1469	1
6624	2989	1526	158	1866	1713	2
6626	1567	615	623	2748	1523	1
6630	2846	1166	259	2262	1688	2
6631	3299	1616	1	2448	1764	2
6635	1503	649	449	1907	1549	1
6637	1224	843	791	2066	1431	1
6638	3240	1371	1	2218	1880	2
6640	1514	645	526	2925	1588	1
6641	1026	517	517	2268	1493	1
6642	737	508	712	1980	1395	1
6647	3311	1375	490	2140	2012	2
6648	2863	1665	1	1846	1961	2
6649	3009	2114	102	2294	1864	2
6651	1632	588	941	2496	1574	1
6655	3146	1381	386	1827	1592	2
6657	1643	526	1638	2855	1547	1
6661	861	418	679	2655	1654	1
6662	3319	1535	526	1992	1552	2
6664	1007	843	615	2730	1761	1
6665	1251	899	1018	2514	1566	1
6667	3012	1359	204	2355	1590	2
6668	1168	431	683	2004	1511	1
6669	2880	2202	1	1435	1108	2
6670	2894	1905	517	1702	1722	2
6671	1444	729	1032	2748	1564	1
6673	1004	623	490	2980	1503	1
6677	1555	391	636	1680	1578	1
6678	1720	499	649	3386	1665	1
6679	1684	391	610	3158	1468	1
6684	1272	272	477	2987	1492	1
6685	3044	1533	138	2102	1459	2
6686	1437	737	1347	2777	1704	1
6689	1652	526	956	3009	1391	1
6691	3277	1491	1	1607	1643	2
6694	1303	477	899	2656	1212	1
6695	2955	1449	1	1914	1513	2
6697	959	413	477	2809	1361	1
6700	1346	571	360	2927	1513	1
6703	3223	1428	1	1992	2058	2
6708	780	409	2820	1768	1424	1
6711	1468	486	418	2874	1319	1
6712	1773	788	311	2308	1651	1
